H,H.DPRG,icecap depression,a comparatively depressed area on an icecap
H,H.DTCH,ditch,a small artificial watercourse dug for draining or irrigating the land
H,H.DTCHD,drainage ditch,a ditch which serves to drain the land
H,H.DTCHI,irrigation ditch,a ditch which serves to distribute irrigation water
H,H.DTCHM,ditch mouth(s),"an area where a drainage ditch enters a lagoon, lake or bay"
H,H.ESTY,estuary,a funnel-shaped stream mouth or embayment where fresh water mixes with sea water under tidal influences
H,H.FISH,fishing area,"a fishing ground, bank or area where fishermen go to catch fish"
H,H.FJD,fjord,"a long, narrow, steep-walled, deep-water arm of the sea at high latitudes, usually along mountainous coasts"
H,H.FJDS,fjords,"long, narrow, steep-walled, deep-water arms of the sea at high latitudes, usually along mountainous coasts"
H,H.FLLS,waterfall(s),a perpendicular or very steep descent of the water of a stream
H,H.FLLSX,section of waterfall(s),
H,H.FLTM,mud flat(s),"a relatively level area of mud either between high and low tide lines, or subject to flooding"
H,H.FLTT,tidal flat(s),a large flat area of mud or sand attached to the shore and alternately covered and uncovered by the tide
H,H.GLCR,glacier(s),"a mass of ice, usually at high latitudes or high elevations, with sufficient thickness to flow away from the source area in lobes, tongues, or masses"
H,H.GULF,gulf,"a large recess in the coastline, larger than a bay"
H,H.GYSR,geyser,a type of hot spring with intermittent eruptions of jets of hot water and steam
H,H.HBR,harbor(s),a haven or space of deep water so sheltered by the adjacent land as to afford a safe anchorage for ships
H,H.HBRX,section of harbor,
H,H.INLT,inlet,"a narrow waterway extending into the land, or connecting a bay or lagoon with a larger body of water"
H,H.INLTQ,former inlet,"an inlet which has been filled in, or blocked by deposits"
H,H.LBED,lake bed(s),a dried up or drained area of a former lake
H,H.LGN,lagoon,"a shallow coastal waterbody, completely or partly separated from a larger body of water by a barrier island, coral reef or other depositional feature"
H,H.LGNS,lagoons,"shallow coastal waterbodies, completely or partly separated from a larger body of water by a barrier island, coral reef or other depositional feature"
H,H.LGNX,section of lagoon,
H,H.LK,lake,a large inland body of standing water
H,H.LKC,crater lake,a lake in a crater or caldera
H,H.LKI,intermittent lake,
H,H.LKN,salt lake,an inland body of salt water with no outlet
H,H.LKNI,intermittent salt lake,
H,H.LKO,oxbow lake,a crescent-shaped lake commonly found adjacent to meandering streams
H,H.LKOI,intermittent oxbow lake,
H,H.LKS,lakes,large inland bodies of standing water
H,H.LKSB,underground lake,a standing body of water in a cave
H,H.LKSC,crater lakes,lakes in a crater or caldera
H,H.LKSI,intermittent lakes,
H,H.LKSN,salt lakes,inland bodies of salt water with no outlet
H,H.LKSNI,intermittent salt lakes,
H,H.LKX,section of lake,
H,H.MFGN,salt evaporation ponds,diked salt ponds used in the production of solar evaporated salt
